epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
1,0.7734524011611938,0.0010000000474974513,0.7389295101165771,0.8782094717025757,0.5037441849708557
2,0.9323809742927551,0.0010000000474974513,0.22675469517707825,0.9852306246757507,0.050510115921497345
3,0.9522321224212646,0.0010000000474974513,0.16340874135494232,0.9845489859580994,0.04641003906726837
4,0.9610118865966797,0.0010000000474974513,0.13032616674900055,0.9804589748382568,0.06208126246929169
5,0.9655357003211975,0.0010000000474974513,0.11843402683734894,0.987730085849762,0.04250265657901764
6,0.9680356979370117,0.0010000000474974513,0.11131920665502548,0.986821174621582,0.040792807936668396
7,0.9703869223594666,0.0010000000474974513,0.10626562684774399,0.9922744631767273,0.028848225250840187
8,0.9725297689437866,0.0010000000474974513,0.09497035294771194,0.9822767376899719,0.06593438982963562
9,0.9739583134651184,0.0010000000474974513,0.0925799310207367,0.9884117245674133,0.03476792201399803
10,0.975565493106842,0.0010000000474974513,0.08671009540557861,0.989547848701477,0.03557485342025757
11,0.9803571701049805,0.0005000000237487257,0.07225115597248077,0.9940922260284424,0.02428428828716278
12,0.9825595021247864,0.0005000000237487257,0.059670593589544296,0.9922744631767273,0.03027690388262272
13,0.9820238351821899,0.0005000000237487257,0.0632760152220726,0.9956827759742737,0.018336812034249306
14,0.9829464554786682,0.0005000000237487257,0.06116747856140137,0.994319498538971,0.02054685726761818
15,0.9832440614700317,0.0005000000237487257,0.0601634755730629,0.9959100484848022,0.019305052235722542
16,0.9829761981964111,0.0005000000237487257,0.05655864626169205,0.9950011372566223,0.021726910024881363
17,0.9847321510314941,0.0002500000118743628,0.050216756761074066,0.9954555630683899,0.018180981278419495
18,0.9852678775787354,0.0002500000118743628,0.050130266696214676,0.9952283501625061,0.017376257106661797
19,0.9860119223594666,0.0002500000118743628,0.04864365980029106,0.9952283501625061,0.019467510282993317
20,0.9878571629524231,0.0002500000118743628,0.04628288000822067,0.9952283501625061,0.01925143040716648
21,0.9871131181716919,0.0002500000118743628,0.044637322425842285,0.9952283501625061,0.019045792520046234
22,0.9888392686843872,0.0001250000059371814,0.04077703505754471,0.996137261390686,0.01719318889081478
23,0.9885714054107666,0.0001250000059371814,0.03850214555859566,0.9954555630683899,0.017459437251091003
24,0.9884523749351501,0.0001250000059371814,0.03964691981673241,0.9968189001083374,0.01638479344546795
25,0.9887202382087708,0.0001250000059371814,0.04096975922584534,0.9956827759742737,0.01742294803261757
26,0.9889881014823914,0.0001250000059371814,0.03838974982500076,0.9959100484848022,0.015577730722725391
27,0.9895833134651184,0.0001250000059371814,0.03820755332708359,0.9956827759742737,0.016932642087340355
28,0.9886904954910278,0.0001250000059371814,0.03740290179848671,0.9963644742965698,0.01656677946448326
29,0.9887202382087708,0.0001250000059371814,0.03852972388267517,0.9956827759742737,0.017057498916983604
30,0.9889285564422607,6.25000029685907e-05,0.038366205990314484,0.9965916872024536,0.015385642647743225
